Pos,Sense1,Sense2,Merge,lch,hso,jcn,leskvalue,linvalue,resvalue,vecvalue,wupvalue,pertainyms,antonyms,deriv,lemmas,verbgroup,verbframe,hyper_min,hyper_max,wn_oed_feature
v,roll#v#12,wander#v#03,not-merged,1.9459101490553101,4.0,0.0,10.0,0.0,3.3182459798098396,0.559980866022063,0.5714285714285711,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.5,0.0
v,observe#v#08,observe#v#09,not-merged,2.23359222150709,0.0,0.0533963558370442,9.0,0.0,0.0,0.326353777798645,0.5,0.0,0.0,0.0,2.0,0.0,1.0,,,0.0
v,draw#v#19,draw#v#07,not-merged,1.54044504094715,0.0,0.0479308243707073,8.0,0.0,0.0,0.8420067790679631,0.28571428571428603,0.0,0.0,1.0,1.0,0.0,0.0,,,1.0
v,draw#v#19,draw#v#10,not-merged,1.38629436111989,0.0,0.0458317989600685,2.0,0.0,0.0,0.32023184840508395,0.25,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0
v,draw#v#19,draw#v#05,not-merged,1.54044504094715,0.0,0.0484126427704803,5.0,0.0,0.0,0.496592071218118,0.28571428571428603,0.0,0.0,1.0,1.0,0.0,0.0,,,1.0
v,draw#v#19,draw#v#14,not-merged,1.54044504094715,0.0,0.0447833290935985,7.0,0.0,0.0,0.7188992257800241,0.28571428571428603,0.0,0.0,1.0,1.0,0.0,1.0,,,1.0
v,draw#v#19,draw#v#16,not-merged,1.54044504094715,0.0,0.0439846523726192,4.0,0.0,0.0,0.8567495640699542,0.28571428571428603,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0
v,draw#v#19,draw#v#06,not-merged,1.25276296849537,0.0,0.0486902839246359,8.0,0.0,0.0,0.662600013277568,0.222222222222222,0.0,0.0,1.0,1.0,0.0,1.0,,,1.0
v,draw#v#19,draw#v#20,not-merged,1.54044504094715,0.0,0.042683329933691005,3.0,0.0,0.0,0.412217590182646,0.28571428571428603,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0
v,draw#v#19,draw#v#04,not-merged,1.38629436111989,0.0,0.0509057130892524,7.0,0.0,0.0,0.49065762935410706,0.25,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0
v,draw#v#19,draw#v#18,not-merged,1.25276296849537,0.0,0.042683329933691005,8.0,0.0,0.0,0.483651019658017,0.222222222222222,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0
v,draw#v#19,draw#v#09,not-merged,1.38629436111989,0.0,0.0462180023621483,11.0,0.0,0.0,0.635392281559534,0.25,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0
v,draw#v#19,draw#v#31,not-merged,1.38629436111989,0.0,0.0,4.0,0.0,0.0,0.49271415113475203,0.25,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0
v,draw#v#19,draw#v#12,not-merged,1.54044504094715,0.0,0.0453678190811988,2.0,0.0,0.0,0.491193390175536,0.28571428571428603,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0
