sense1,sense2,lch,hso,jcn,leskvalue,linvalue,resvalue,vecvalue,wupvalue,merge
Sense1,Sense2,,,,,,,,,Merge
roll#v#12,wander#v#03,1.94591014905531,4,0,10,0,3.31824597980984,0.559980866022063,0.571428571428571,not-merged
observe#v#08,observe#v#09,2.23359222150709,0,0.0533963558370442,9,0,0,0.326353777798645,0.5,not-merged
draw#v#19,draw#v#07,1.54044504094715,0,0.0479308243707073,8,0,0,0.842006779067963,0.285714285714286,not-merged
draw#v#19,draw#v#10,1.38629436111989,0,0.0458317989600685,2,0,0,0.320231848405084,0.25,not-merged
draw#v#19,draw#v#05,1.54044504094715,0,0.0484126427704803,5,0,0,0.496592071218118,0.285714285714286,not-merged
draw#v#19,draw#v#14,1.54044504094715,0,0.0447833290935985,7,0,0,0.718899225780024,0.285714285714286,not-merged
draw#v#19,draw#v#16,1.54044504094715,0,0.0439846523726192,4,0,0,0.856749564069954,0.285714285714286,not-merged
draw#v#19,draw#v#06,1.25276296849537,0,0.0486902839246359,8,0,0,0.662600013277568,0.222222222222222,not-merged
draw#v#19,draw#v#20,1.54044504094715,0,0.042683329933691,3,0,0,0.412217590182646,0.285714285714286,not-merged
draw#v#19,draw#v#04,1.38629436111989,0,0.0509057130892524,7,0,0,0.490657629354107,0.25,not-merged
draw#v#19,draw#v#18,1.25276296849537,0,0.042683329933691,8,0,0,0.483651019658017,0.222222222222222,not-merged
draw#v#19,draw#v#09,1.38629436111989,0,0.0462180023621483,11,0,0,0.635392281559534,0.25,not-merged
draw#v#19,draw#v#31,1.38629436111989,0,0,4,0,0,0.492714151134752,0.25,not-merged
draw#v#19,draw#v#12,1.54044504094715,0,0.0453678190811988,2,0,0,0.491193390175536,0.285714285714286,not-merged
draw#v#07,draw#v#10,1.54044504094715,0,0.0519373598733893,9,0,0,0.307969958737063,0.285714285714286,not-merged
draw#v#07,draw#v#05,2.23359222150709,5,0.164743916539544,260,0.664469077443108,6.01039260907683,0.725582370246273,0.666666666666667,not-merged
draw#v#07,draw#v#14,1.7227665977411,0,0.0505950265503971,8,0,0,0.687725131749263,0.333333333333333,not-merged
draw#v#07,draw#v#16,1.7227665977411,0,0.0495779586301383,15,0,0,0.793057105136483,0.333333333333333,not-merged
draw#v#07,draw#v#06,1.38629436111989,0,0.0556389241402073,54,0,0,0.615761261776429,0.25,not-merged
draw#v#07,draw#v#20,1.7227665977411,0,0.0479308243707073,16,0,0,0.407638227005467,0.333333333333333,not-merged
draw#v#07,draw#v#04,1.54044504094715,0,0.0585507134779249,11,0,0,0.449724756414101,0.285714285714286,not-merged
draw#v#07,draw#v#18,1.38629436111989,0,0.0479308243707073,15,0,0,0.453610941336963,0.25,not-merged
draw#v#07,draw#v#09,1.54044504094715,0,0.0524338719532194,31,0,0,0.71458685388135,0.285714285714286,not-merged
draw#v#07,draw#v#31,1.54044504094715,0,0,10,0,0,0.509714805625484,0.285714285714286,not-merged
draw#v#07,draw#v#12,1.7227665977411,0,0.0513423286269129,12,0,0,0.526350608338695,0.333333333333333,not-merged
draw#v#10,draw#v#05,1.54044504094715,0,0.0525035710056218,7,0,0,0.232798659142672,0.285714285714286,not-merged
draw#v#10,draw#v#06,1.54044504094715,2,0.0836399433919106,7,0.368360703421701,3.48626524613555,0.388035793384971,0.444444444444444,not-merged
draw#v#10,draw#v#20,1.54044504094715,0,0.0458317989600685,4,0,0,0.203155491140458,0.285714285714286,not-merged
draw#v#10,draw#v#04,1.7227665977411,3,0.0903979960167828,5,0.386617007577826,3.48626524613555,0.219917178398905,0.5,not-merged
draw#v#10,draw#v#09,1.38629436111989,0,0.049932210069763,6,0,0,0.249659006884811,0.25,not-merged
draw#v#10,draw#v#12,1.54044504094715,0,0.0489413547100076,3,0,0,0.191631721841189,0.285714285714286,not-merged
draw#v#05,draw#v#14,1.7227665977411,0,0.051132196824539,10,0,0,0.426466381731281,0.333333333333333,not-merged
draw#v#05,draw#v#16,1.7227665977411,0,0.0500936393771828,15,0,0,0.482006445925916,0.333333333333333,not-merged
draw#v#05,draw#v#06,1.38629436111989,0,0.0562892240249128,29,0,0,0.388996299531377,0.25,not-merged
