Unnamed: 0,Pos,Sense1,Sense2,Merge,lch,hso,jcn,leskvalue,linvalue,resvalue,vecvalue,wupvalue,pertainyms,antonyms,deriv,lemmas,verbgroup,verbframe,hyper_min,hyper_max,topic_similarity,wn_domain_feature,wn_oed_feature
0,v,consult#v#3,consult#v#4,not-merged,1.94591014905531,4.0,0.0,1.0,0.0,5.90904011481655,0.192653649428499,0.823529411764706,0.0,0.0,1.0,1.0,0.0,1.0,0.5,5.5,,1.0,1.0
1,v,consult#v#3,consult#v#1,not-merged,1.38629436111989,0.0,0.0736678969831913,5.0,0.30170388063670195,2.93246609789686,0.458804973591007,0.5714285714285711,0.0,0.0,1.0,1.0,0.0,1.0,2.0,4.0,,1.0,1.0
2,v,consult#v#3,consult#v#2,not-merged,0.8472978603872041,0.0,0.051132196824539004,7.0,0.0,0.0,0.358708918136359,0.153846153846154,0.0,0.0,1.0,1.0,0.0,0.0,,,,1.0,1.0
3,v,consult#v#4,consult#v#1,not-merged,1.25276296849537,0.0,0.0,2.0,0.0,2.93246609789686,0.255969392813075,0.5333333333333329,0.0,0.0,1.0,1.0,0.0,1.0,2.5,4.5,,1.0,1.0
4,v,consult#v#4,consult#v#2,not-merged,0.767255152713667,0.0,0.0,3.0,0.0,0.0,0.238448992102742,0.14285714285714302,0.0,0.0,1.0,1.0,0.0,0.0,,,,1.0,1.0
5,v,consult#v#1,consult#v#2,merged,1.02961941718116,0.0,0.0562892240249128,6.0,0.0,0.0,0.453857647834865,0.181818181818182,0.0,0.0,1.0,1.0,0.0,1.0,,,,1.0,0.0
9,v,age#v#1,age#v#2,merged,2.23359222150709,5.0,0.0990127241810863,298.0,0.568910659849873,6.6643190764835,0.8003394659886519,0.857142857142857,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,,1.0,1.0
10,v,age#v#1,age#v#3,merged,1.13497993283898,0.0,0.0,21.0,0.0,0.0,0.555913086716744,0.2,0.0,0.0,0.0,1.0,0.0,0.0,,,,1.0,1.0
11,v,age#v#2,age#v#3,merged,1.13497993283898,16.0,0.0,6.0,0.0,0.0,0.719765332022264,0.2,0.0,0.0,1.0,1.0,0.0,0.0,,,,1.0,1.0
12,n,chain#n#1,chain#n#2,not-merged,1.15267950993839,0.0,0.0469651170206881,53.0,0.0,0.0,0.660349281671415,0.266666666666667,0.0,0.0,1.0,1.0,,,4.5,4.5,0.7250489963361246,1.0,1.0
13,n,chain#n#1,chain#n#4,not-merged,1.3350010667323402,0.0,0.0567169592681863,51.0,0.21256746256069695,2.37980020271684,0.6900586332466251,0.526315789473684,0.0,0.0,0.0,1.0,,,3.5,6.5,0.7873932214688775,1.0,1.0
14,n,chain#n#1,chain#n#9,not-merged,0.80437281567017,0.0,0.0446607791523895,22.0,0.0,0.0,0.6658206052588921,0.2,0.0,0.0,0.0,1.0,,,7.0,7.0,0.9933888831234664,1.0,1.0
15,n,chain#n#1,chain#n#8,not-merged,1.15267950993839,0.0,0.0446607791523895,67.0,0.0,0.0,0.563954124677403,0.266666666666667,0.0,0.0,0.0,1.0,,,4.5,4.5,0.6918724051113196,1.0,1.0
16,n,chain#n#1,chain#n#6,not-merged,1.3350010667323402,0.0,0.0,34.0,0.0,0.5161886919056701,0.627651843399843,0.470588235294118,0.0,0.0,0.0,1.0,,,3.5,5.5,0.8148398904913404,1.0,1.0
17,n,chain#n#2,chain#n#4,not-merged,1.07263680226485,0.0,0.0417860073258581,62.0,0.0,0.0,0.629493055358696,0.25,0.0,0.0,0.0,1.0,,,5.0,5.0,0.9770907408141154,1.0,0.0
18,n,chain#n#2,chain#n#9,not-merged,1.15267950993839,0.0,0.0452216368135867,19.0,0.0759731343182237,0.9090738644370292,0.5549004302945589,0.3529411764705879,0.0,0.0,0.0,1.0,,,4.5,5.5,0.7740130372835429,1.0,0.0
19,n,chain#n#2,chain#n#8,not-merged,1.69167601067107,0.0,0.0452216368135867,89.0,0.0759731343182237,0.9090738644370292,0.5592253235400091,0.5,0.0,0.0,0.0,1.0,,,2.0,3.0,0.9471138906267726,1.0,0.0
20,n,chain#n#2,chain#n#6,not-merged,1.23969088692802,0.0,0.0,56.0,0.0,0.0,0.7909516125870079,0.28571428571428603,0.0,0.0,0.0,1.0,,,4.0,4.0,0.9649597733302878,1.0,0.0
21,n,chain#n#4,chain#n#9,not-merged,0.7472144018302209,0.0,0.0399519483682114,22.0,0.0,0.0,0.5330149010970711,0.19047619047619,0.0,0.0,0.0,1.0,,,7.5,7.5,0.8208159309277312,1.0,1.0
22,n,chain#n#4,chain#n#8,not-merged,1.07263680226485,0.0,0.0399519483682114,72.0,0.0,0.0,0.612469051723749,0.25,0.0,0.0,0.0,1.0,,,5.0,5.0,0.9142641582829648,1.0,1.0
23,n,chain#n#4,chain#n#6,not-merged,1.23969088692802,0.0,0.0,54.0,0.0,0.5161886919056701,0.6422987636944489,0.444444444444444,0.0,0.0,0.0,1.0,,,4.0,6.0,0.9962797227215968,1.0,1.0
24,n,chain#n#9,chain#n#8,not-merged,1.3350010667323402,0.0,0.0451310591124119,25.0,0.11475712837361997,1.43618938575883,0.491934529410105,0.470588235294118,0.0,0.0,0.0,1.0,,,3.5,5.5,0.7443991559831733,1.0,1.0
25,n,chain#n#9,chain#n#6,not-merged,0.8649974374866051,0.0,0.0,21.0,0.0,0.0,0.511918623644289,0.210526315789474,0.0,0.0,0.0,1.0,,,6.5,6.5,0.8447424495981762,1.0,1.0
26,n,chain#n#8,chain#n#6,not-merged,1.23969088692802,0.0,0.0,71.0,0.0,0.0,0.5725070681324129,0.28571428571428603,0.0,0.0,0.0,1.0,,,4.0,4.0,0.8943464471693409,1.0,0.0
27,n,guideline#n#1,guideline#n#2,not-merged,1.55814461804655,0.0,0.0,13.0,0.0,2.78364067947684,0.4279804005134361,0.588235294117647,0.0,0.0,0.0,1.0,,,3.5,8.0,,1.0,1.0
28,n,guideline#n#1,guideline#n#3,not-merged,1.07263680226485,0.0,0.0,10.0,0.0,0.5161886919056701,0.199642767294719,0.4,0.0,0.0,0.0,1.0,,,5.0,7.0,0.9402016168342624,1.0,1.0
29,n,guideline#n#2,guideline#n#3,merged,1.84582669049833,2.0,0.0,16.0,0.0,3.84220571242676,0.339387560398399,0.7619047619047621,0.0,0.0,0.0,1.0,,,2.5,9.0,,1.0,1.0
30,v,provide#v#3,provide#v#1,not-merged,0.9343092373768328,0.0,0.0705887841564566,23.0,0.0,0.0,0.6923974700233572,0.166666666666667,0.0,0.0,1.0,1.0,0.0,0.0,,,,1.0,1.0
31,v,provide#v#3,provide#v#2,not-merged,0.9343092373768328,0.0,0.0650105402033897,24.0,0.0,0.0,0.7423787472845501,0.166666666666667,0.0,0.0,1.0,1.0,0.0,0.0,,,,1.0,1.0
32,v,provide#v#3,provide#v#4,not-merged,0.9343092373768328,0.0,0.0521380377426538,5.0,0.0,0.0,0.372880782106748,0.166666666666667,0.0,0.0,0.0,1.0,0.0,0.0,,,,1.0,1.0
33,v,provide#v#3,provide#v#5,not-merged,0.767255152713667,0.0,0.0576192676248521,19.0,0.0,0.0,0.6915306089000509,0.14285714285714302,0.0,0.0,0.0,1.0,0.0,0.0,,,,1.0,1.0
34,v,provide#v#3,provide#v#6,not-merged,0.8472978603872041,0.0,0.0,15.0,0.0,0.0,0.55010575579195,0.153846153846154,0.0,0.0,1.0,1.0,0.0,0.0,,,,1.0,1.0
35,v,provide#v#3,provide#v#7,not-merged,0.9343092373768328,0.0,0.0,22.0,0.0,0.0,0.498592316882601,0.166666666666667,0.0,0.0,0.0,1.0,0.0,0.0,,,,1.0,1.0
36,v,provide#v#1,provide#v#2,merged,2.23359222150709,5.0,0.274690605214745,204.0,0.680617807932865,3.87899132846629,0.8809402898694021,0.75,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,,1.0,0.0
37,v,provide#v#1,provide#v#4,merged,1.38629436111989,0.0,0.0658060293941852,10.0,0.0,0.0,0.44999303576414296,0.25,0.0,0.0,0.0,1.0,0.0,1.0,,,,1.0,0.0
38,v,provide#v#1,provide#v#5,merged,2.23359222150709,6.0,0.313602595417689,59.0,0.761528705104815,5.09143875978319,0.8706405451592009,0.8,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,,1.0,0.0
39,v,provide#v#1,provide#v#6,not-merged,1.94591014905531,4.0,0.0,10.0,0.0,3.87899132846629,0.681227611537277,0.666666666666667,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.5,,1.0,0.0
40,v,provide#v#1,provide#v#7,not-merged,1.38629436111989,0.0,0.0,25.0,0.0,0.0,0.608891506809322,0.25,0.0,0.0,0.0,1.0,0.0,0.0,,,,1.0,0.0
41,v,provide#v#2,provide#v#4,merged,1.38629436111989,0.0,0.0609319895717947,7.0,0.0,0.0,0.4681927168291121,0.25,0.0,0.0,0.0,1.0,0.0,1.0,,,,1.0,1.0
42,v,provide#v#2,provide#v#5,merged,1.7227665977411002,3.0,0.146429852732604,28.0,0.531835262531015,3.87899132846629,0.828015477884022,0.6,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,,1.0,1.0
43,v,provide#v#2,provide#v#6,not-merged,1.94591014905531,4.0,0.0,14.0,0.0,3.87899132846629,0.6689100033824389,0.666666666666667,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.5,,1.0,1.0
44,v,provide#v#2,provide#v#7,not-merged,1.38629436111989,0.0,0.0,19.0,0.0,0.0,0.567133960314405,0.25,0.0,0.0,0.0,1.0,0.0,0.0,,,,1.0,1.0
45,v,provide#v#4,provide#v#5,merged,1.13497993283898,0.0,0.0543923892673284,6.0,0.0,0.0,0.41872531422870896,0.2,0.0,0.0,0.0,1.0,0.0,1.0,,,,1.0,1.0
46,v,provide#v#4,provide#v#6,not-merged,1.25276296849537,0.0,0.0,3.0,0.0,0.0,0.40294987420485,0.222222222222222,0.0,0.0,0.0,1.0,0.0,0.0,,,,1.0,1.0
47,v,provide#v#4,provide#v#7,not-merged,1.38629436111989,0.0,0.0,3.0,0.0,0.0,0.39883566867676506,0.25,0.0,0.0,0.0,1.0,0.0,0.0,,,,1.0,1.0
48,v,provide#v#5,provide#v#6,not-merged,1.54044504094715,2.0,0.0,15.0,0.0,3.87899132846629,0.6959214286705661,0.545454545454545,0.0,0.0,0.0,1.0,0.0,1.0,1.5,2.5,,1.0,1.0
49,v,provide#v#5,provide#v#7,not-merged,1.13497993283898,0.0,0.0,18.0,0.0,0.0,0.571421154860561,0.2,0.0,0.0,0.0,1.0,0.0,1.0,,,,1.0,1.0
50,v,provide#v#6,provide#v#7,merged,1.25276296849537,0.0,0.0,17.0,0.0,0.0,0.542937725632307,0.222222222222222,0.0,0.0,0.0,1.0,0.0,1.0,,,,1.0,0.0
51,v,approve#v#1,approve#v#2,not-merged,1.02961941718116,0.0,0.0581666548252487,10.0,0.0,0.0,0.840885698881663,0.181818181818182,0.0,1.0,1.0,1.0,0.0,1.0,,,,1.0,1.0
52,v,require#v#1,require#v#4,merged,1.94591014905531,0.0,0.0833632635100572,15.0,0.0,0.0,0.773208342026583,0.4,0.0,0.0,1.0,2.0,0.0,1.0,,,,1.0,1.0
53,v,require#v#1,require#v#2,not-merged,1.13497993283898,0.0,0.0828306388052857,11.0,0.0,0.0,0.833314065591492,0.2,0.0,0.0,1.0,2.0,0.0,1.0,,,,1.0,1.0
54,v,require#v#1,require#v#3,not-merged,0.9343092373768328,0.0,0.0767167416352275,11.0,0.0,0.0,0.6140115366942309,0.166666666666667,0.0,0.0,0.0,1.0,0.0,1.0,,,,1.0,1.0
55,v,require#v#4,require#v#2,not-merged,1.02961941718116,0.0,0.0791261817901879,6.0,0.0,0.0,0.687298257061007,0.181818181818182,0.0,0.0,1.0,1.0,0.0,0.0,,,,1.0,1.0
56,v,require#v#4,require#v#3,not-merged,0.8472978603872041,0.0,0.0735284439506746,3.0,0.0,0.0,0.4820775484806379,0.153846153846154,0.0,0.0,0.0,1.0,0.0,0.0,,,,1.0,1.0
57,v,require#v#2,require#v#3,merged,1.38629436111989,0.0,0.19801173543702105,4.0,0.630760436379971,4.3135545063619,0.57925000111951,0.666666666666667,0.0,0.0,0.0,1.0,0.0,1.0,2.0,6.0,,1.0,1.0
58,v,compare#v#1,compare#v#4,not-merged,1.38629436111989,0.0,0.0,12.0,0.0,0.0,0.252464107946917,0.25,0.0,0.0,0.0,1.0,0.0,1.0,,,,1.0,1.0
59,v,compare#v#1,compare#v#2,not-merged,1.7227665977411002,0.0,0.0598076606555962,12.0,0.0,0.0,0.567155210030835,0.33333333333333304,0.0,0.0,1.0,1.0,0.0,0.0,,,,1.0,1.0
60,v,compare#v#1,compare#v#3,not-merged,1.38629436111989,0.0,0.0607828757924384,9.0,0.0,0.0,0.383793558327608,0.25,0.0,0.0,1.0,1.0,0.0,1.0,,,,1.0,1.0
61,v,compare#v#4,compare#v#2,not-merged,1.38629436111989,0.0,0.0,15.0,0.0,0.0,0.3585388211497229,0.25,0.0,0.0,0.0,1.0,0.0,0.0,,,,1.0,0.0
